sample_id,condition
GSM5226574,Control
GSM5226575,Control
GSM5226576,Control
GSM5226577,Control
GSM5226578,Control
GSM5226579,Control
GSM5226580,Control
GSM5226581,COVID19
GSM5226582,COVID19
GSM5226583,COVID19
GSM5226584,COVID19
GSM5226585,COVID19
GSM5226586,COVID19
GSM5226587,COVID19
GSM5226588,COVID19
GSM5226589,COVID19
GSM5226590,COVID19
GSM5226591,COVID19
GSM5226592,COVID19
GSM5226593,COVID19
GSM5226594,COVID19
GSM5226595,COVID19
GSM5226596,COVID19
GSM5226597,COVID19
GSM5226598,COVID19
GSM5226599,COVID19
GSM5226600,COVID19
